_meta_key,_meta_value
task_id,8f44f282-c217-4447-ab49-253f4e6a3481
apk_name,app-debug.apk
apk_size_bytes,7171307
start_time,2025-12-11T17:10:30.123217Z
end_time,2025-12-11T17:11:54.005410Z
duration_seconds,83.88

feature,value
min_sdk,24
target_sdk,35
Permission::ACCESS_NETWORK_STATE,1
Permission::DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
Permission::INTERNET,1
Permission::NFC,1
Intent::BENCHMARK_OPERATION,1
Intent::INSTALL_PROFILE,1
Intent::SAVE_PROFILE,1
Intent::SKIP_FILE,1
APICall::Landroid/accessibilityservice/AccessibilityServiceInfo.getCapabilities(),1
APICall::Landroid/accessibilityservice/AccessibilityServiceInfo.getSettingsActivityName(),1
APICall::Landroid/accessibilityservice/AccessibilityServiceInfo.loadDescription(),1
APICall::Landroid/animation/Animator.addListener(),1
APICall::Landroid/animation/Animator.addPauseListener(),1
APICall::Landroid/animation/Animator.cancel(),1
APICall::Landroid/animation/Animator.clone(),1
APICall::Landroid/animation/Animator.end(),1
APICall::Landroid/animation/Animator.getDuration(),1
APICall::Landroid/animation/Animator.getStartDelay(),1
APICall::Landroid/animation/Animator.getTotalDuration(),1
APICall::Landroid/animation/Animator.isRunning(),1
APICall::Landroid/animation/Animator.isStarted(),1
APICall::Landroid/animation/Animator.pause(),1
APICall::Landroid/animation/Animator.removeListener(),1
APICall::Landroid/animation/Animator.resume(),1
APICall::Landroid/animation/Animator.setDuration(),1
APICall::Landroid/animation/Animator.setInterpolator(),1
APICall::Landroid/animation/Animator.setStartDelay(),1
APICall::Landroid/animation/Animator.setTarget(),1
APICall::Landroid/animation/Animator.start(),1
APICall::Landroid/animation/AnimatorInflater.loadAnimator(),1
APICall::Landroid/animation/AnimatorInflater.loadStateListAnimator(),1
APICall::Landroid/animation/AnimatorListenerAdapter.<init>(),1
APICall::Landroid/animation/AnimatorListenerAdapter.onAnimationEnd(),1
APICall::Landroid/animation/AnimatorListenerAdapter.onAnimationRepeat(),1
APICall::Landroid/animation/AnimatorListenerAdapter.onAnimationStart(),1
APICall::Landroid/animation/AnimatorSet$Builder.with(),1
APICall::Landroid/animation/AnimatorSet.<init>(),1
APICall::Landroid/animation/AnimatorSet.addListener(),1
APICall::Landroid/animation/AnimatorSet.cancel(),1
APICall::Landroid/animation/AnimatorSet.end(),1
APICall::Landroid/animation/AnimatorSet.getChildAnimations(),1
APICall::Landroid/animation/AnimatorSet.getDuration(),1
APICall::Landroid/animation/AnimatorSet.getTotalDuration(),1
APICall::Landroid/animation/AnimatorSet.isRunning(),1
APICall::Landroid/animation/AnimatorSet.isStarted(),1
APICall::Landroid/animation/AnimatorSet.pause(),1
APICall::Landroid/animation/AnimatorSet.play(),1
APICall::Landroid/animation/AnimatorSet.playSequentially(),1
APICall::Landroid/animation/AnimatorSet.playTogether(),1
APICall::Landroid/animation/AnimatorSet.removeListener(),1
APICall::Landroid/animation/AnimatorSet.resume(),1
APICall::Landroid/animation/AnimatorSet.reverse(),1
APICall::Landroid/animation/AnimatorSet.setCurrentPlayTime(),1
APICall::Landroid/animation/AnimatorSet.setDuration(),1
APICall::Landroid/animation/AnimatorSet.setInterpolator(),1
APICall::Landroid/animation/AnimatorSet.setStartDelay(),1
APICall::Landroid/animation/AnimatorSet.start(),1
APICall::Landroid/animation/ArgbEvaluator.<init>(),1
APICall::Landroid/animation/FloatEvaluator.<init>(),1
APICall::Landroid/animation/FloatEvaluator.evaluate(),1
APICall::Landroid/animation/Keyframe.getFraction(),1
APICall::Landroid/animation/Keyframe.getType(),1
APICall::Landroid/animation/Keyframe.getValue(),1
APICall::Landroid/animation/Keyframe.hasValue(),1
APICall::Landroid/animation/Keyframe.ofFloat(),1
APICall::Landroid/animation/Keyframe.ofInt(),1
APICall::Landroid/animation/Keyframe.ofObject(),1
APICall::Landroid/animation/Keyframe.setFraction(),1
APICall::Landroid/animation/Keyframe.setInterpolator(),1
APICall::Landroid/animation/LayoutTransition.isChangingLayout(),1
APICall::Landroid/animation/ObjectAnimator.<init>(),1
APICall::Landroid/animation/ObjectAnimator.addListener(),1
APICall::Landroid/animation/ObjectAnimator.addPauseListener(),1
APICall::Landroid/animation/ObjectAnimator.addUpdateListener(),1
APICall::Landroid/animation/ObjectAnimator.cancel(),1
APICall::Landroid/animation/ObjectAnimator.end(),1
APICall::Landroid/animation/ObjectAnimator.getAnimatedValue(),1
APICall::Landroid/animation/ObjectAnimator.getPropertyName(),1
APICall::Landroid/animation/ObjectAnimator.getValues(),1
APICall::Landroid/animation/ObjectAnimator.isRunning(),1
APICall::Landroid/animation/ObjectAnimator.isStarted(),1
APICall::Landroid/animation/ObjectAnimator.ofFloat(),1
APICall::Landroid/animation/ObjectAnimator.ofInt(),1
APICall::Landroid/animation/ObjectAnimator.ofObject(),1
APICall::Landroid/animation/ObjectAnimator.ofPropertyValuesHolder(),1
APICall::Landroid/animation/ObjectAnimator.reverse(),1
APICall::Landroid/animation/ObjectAnimator.setAutoCancel(),1
APICall::Landroid/animation/ObjectAnimator.setDuration(),1
APICall::Landroid/animation/ObjectAnimator.setEvaluator(),1
APICall::Landroid/animation/ObjectAnimator.setFloatValues(),1
APICall::Landroid/animation/ObjectAnimator.setInterpolator(),1
APICall::Landroid/animation/ObjectAnimator.setProperty(),1
APICall::Landroid/animation/ObjectAnimator.setPropertyName(),1
APICall::Landroid/animation/ObjectAnimator.setRepeatCount(),1
APICall::Landroid/animation/ObjectAnimator.setValues(),1
APICall::Landroid/animation/ObjectAnimator.start(),1
APICall::Landroid/animation/PropertyValuesHolder.clone(),1
APICall::Landroid/animation/PropertyValuesHolder.ofFloat(),1
APICall::Landroid/animation/PropertyValuesHolder.ofInt(),1
APICall::Landroid/animation/PropertyValuesHolder.ofKeyframe(),1
APICall::Landroid/animation/PropertyValuesHolder.ofObject(),1
APICall::Landroid/animation/PropertyValuesHolder.setEvaluator(),1
APICall::Landroid/animation/PropertyValuesHolder.setFloatValues(),1
APICall::Landroid/animation/StateListAnimator.<init>(),1
APICall::Landroid/animation/StateListAnimator.addState(),1
APICall::Landroid/animation/StateListAnimator.jumpToCurrentState(),1
APICall::Landroid/animation/TimeInterpolator.getInterpolation(),1
APICall::Landroid/animation/ValueAnimator.<init>(),1
APICall::Landroid/animation/ValueAnimator.addListener(),1
APICall::Landroid/animation/ValueAnimator.addUpdateListener(),1
APICall::Landroid/animation/ValueAnimator.cancel(),1
APICall::Landroid/animation/ValueAnimator.end(),1
APICall::Landroid/animation/ValueAnimator.getAnimatedFraction(),1
APICall::Landroid/animation/ValueAnimator.getAnimatedValue(),1
APICall::Landroid/animation/ValueAnimator.getDuration(),1
APICall::Landroid/animation/ValueAnimator.getDurationScale(),1
APICall::Landroid/animation/ValueAnimator.getInterpolator(),1
APICall::Landroid/animation/ValueAnimator.getRepeatCount(),1
APICall::Landroid/animation/ValueAnimator.getRepeatMode(),1
APICall::Landroid/animation/ValueAnimator.getStartDelay(),1
APICall::Landroid/animation/ValueAnimator.isPaused(),1
APICall::Landroid/animation/ValueAnimator.isRunning(),1
APICall::Landroid/animation/ValueAnimator.ofFloat(),1
APICall::Landroid/animation/ValueAnimator.ofInt(),1
APICall::Landroid/animation/ValueAnimator.ofObject(),1
APICall::Landroid/animation/ValueAnimator.registerDurationScaleChangeListener(),1
APICall::Landroid/animation/ValueAnimator.removeAllUpdateListeners(),1
APICall::Landroid/animation/ValueAnimator.resume(),1
APICall::Landroid/animation/ValueAnimator.reverse(),1
APICall::Landroid/animation/ValueAnimator.setDuration(),1
APICall::Landroid/animation/ValueAnimator.setFloatValues(),1
APICall::Landroid/animation/ValueAnimator.setIntValues(),1
APICall::Landroid/animation/ValueAnimator.setInterpolator(),1
APICall::Landroid/animation/ValueAnimator.setRepeatCount(),1
APICall::Landroid/animation/ValueAnimator.setRepeatMode(),1
APICall::Landroid/animation/ValueAnimator.setStartDelay(),1
APICall::Landroid/animation/ValueAnimator.setTarget(),1
APICall::Landroid/animation/ValueAnimator.setValues(),1
APICall::Landroid/animation/ValueAnimator.start(),1
APICall::Landroid/animation/ValueAnimator.unregisterDurationScaleChangeListener(),1
APICall::Landroid/app/ActionBar.getDisplayOptions(),1
APICall::Landroid/app/ActionBar.getThemedContext(),1
APICall::Landroid/app/ActionBar.setHomeActionContentDescription(),1
APICall::Landroid/app/ActionBar.setHomeAsUpIndicator(),1
APICall::Landroid/app/Activity.<init>(),1
APICall::Landroid/app/Activity.dispatchKeyEvent(),1
APICall::Landroid/app/Activity.dispatchKeyShortcutEvent(),1
APICall::Landroid/app/Activity.findViewById(),1
APICall::Landroid/app/Activity.finish(),1
APICall::Landroid/app/Activity.finishAffinity(),1
APICall::Landroid/app/Activity.finishAfterTransition(),1
APICall::Landroid/app/Activity.getActionBar(),1
APICall::Landroid/app/Activity.getApplication(),1
APICall::Landroid/app/Activity.getApplicationContext(),1
APICall::Landroid/app/Activity.getCallingActivity(),1
APICall::Landroid/app/Activity.getCallingPackage(),1
APICall::Landroid/app/Activity.getComponentName(),1
APICall::Landroid/app/Activity.getFragmentManager(),1
APICall::Landroid/app/Activity.getIntent(),1
APICall::Landroid/app/Activity.getMainLooper(),1
APICall::Landroid/app/Activity.getOnBackInvokedDispatcher(),1
APICall::Landroid/app/Activity.getPackageManager(),1
APICall::Landroid/app/Activity.getPackageName(),1
APICall::Landroid/app/Activity.getParentActivityIntent(),1
APICall::Landroid/app/Activity.getReferrer(),1
APICall::Landroid/app/Activity.getSharedPreferences(),1
APICall::Landroid/app/Activity.getSystemService(),1
APICall::Landroid/app/Activity.getTitle(),1
APICall::Landroid/app/Activity.getWindow(),1
APICall::Landroid/app/Activity.getWindowManager(),1
APICall::Landroid/app/Activity.invalidateOptionsMenu(),1
APICall::Landroid/app/Activity.isChangingConfigurations(),1
APICall::Landroid/app/Activity.isChild(),1
APICall::Landroid/app/Activity.isFinishing(),1
APICall::Landroid/app/Activity.isLaunchedFromBubble(),1
APICall::Landroid/app/Activity.navigateUpTo(),1
APICall::Landroid/app/Activity.onConfigurationChanged(),1
APICall::Landroid/app/Activity.onCreate(),1
APICall::Landroid/app/Activity.onSaveInstanceState(),1
APICall::Landroid/app/Activity.onUserInteraction(),1
APICall::Landroid/app/Activity.overridePendingTransition(),1
APICall::Landroid/app/Activity.postponeEnterTransition(),1
APICall::Landroid/app/Activity.recreate(),1
APICall::Landroid/app/Activity.registerActivityLifecycleCallbacks(),1
APICall::Landroid/app/Activity.requestDragAndDropPermissions(),1
APICall::Landroid/app/Activity.requestPermissions(),1
APICall::Landroid/app/Activity.requireViewById(),1
APICall::Landroid/app/Activity.setEnterSharedElementCallback(),1
APICall::Landroid/app/Activity.setExitSharedElementCallback(),1
APICall::Landroid/app/Activity.setLocusContext(),1
APICall::Landroid/app/Activity.setPictureInPictureParams(),1
APICall::Landroid/app/Activity.shouldShowRequestPermissionRationale(),1
APICall::Landroid/app/Activity.shouldUpRecreateTask(),1
APICall::Landroid/app/Activity.startActivityForResult(),1
APICall::Landroid/app/Activity.startIntentSenderForResult(),1
APICall::Landroid/app/Activity.startPostponedEnterTransition(),1
APICall::Landroid/app/ActivityManager.getLauncherLargeIconSize(),1
APICall::Landroid/app/ActivityManager.isLowRamDevice(),1
APICall::Landroid/app/ActivityOptions.getLaunchBounds(),1
APICall::Landroid/app/ActivityOptions.makeBasic(),1
APICall::Landroid/app/ActivityOptions.makeClipRevealAnimation(),1
APICall::Landroid/app/ActivityOptions.makeCustomAnimation(),1
APICall::Landroid/app/ActivityOptions.makeScaleUpAnimation(),1
APICall::Landroid/app/ActivityOptions.makeSceneTransitionAnimation(),1
APICall::Landroid/app/ActivityOptions.makeTaskLaunchBehind(),1
APICall::Landroid/app/ActivityOptions.makeThumbnailScaleUpAnimation(),1
APICall::Landroid/app/ActivityOptions.requestUsageTimeReport(),1
APICall::Landroid/app/ActivityOptions.setLaunchBounds(),1
APICall::Landroid/app/ActivityOptions.setShareIdentityEnabled(),1
APICall::Landroid/app/ActivityOptions.toBundle(),1
APICall::Landroid/app/ActivityOptions.update(),1
APICall::Landroid/app/AlarmManager$AlarmClockInfo.<init>(),1
APICall::Landroid/app/AlarmManager.canScheduleExactAlarms(),1
APICall::Landroid/app/AlarmManager.setAlarmClock(),1
APICall::Landroid/app/AlarmManager.setAndAllowWhileIdle(),1
APICall::Landroid/app/AlarmManager.setExact(),1
APICall::Landroid/app/AlarmManager.setExactAndAllowWhileIdle(),1
APICall::Landroid/app/AppComponentFactory.<init>(),1
APICall::Landroid/app/AppComponentFactory.instantiateActivity(),1
APICall::Landroid/app/AppComponentFactory.instantiateApplication(),1
APICall::Landroid/app/AppComponentFactory.instantiateProvider(),1
APICall::Landroid/app/AppComponentFactory.instantiateReceiver(),1
APICall::Landroid/app/AppComponentFactory.instantiateService(),1
APICall::Landroid/app/AppOpsManager.checkOpNoThrow(),1
APICall::Landroid/app/AppOpsManager.noteOp(),1
APICall::Landroid/app/AppOpsManager.noteOpNoThrow(),1
APICall::Landroid/app/AppOpsManager.noteProxyOp(),1
APICall::Landroid/app/AppOpsManager.noteProxyOpNoThrow(),1
APICall::Landroid/app/AppOpsManager.permissionToOp(),1
APICall::Landroid/app/Application.getPackageManager(),1
APICall::Landroid/app/Application.registerActivityLifecycleCallbacks(),1
APICall::Landroid/app/Application.unregisterActivityLifecycleCallbacks(),1
APICall::Landroid/app/DatePickerDialog.<init>(),1
APICall::Landroid/app/DatePickerDialog.onCreate(),1
APICall::Landroid/app/Dialog.<init>(),1
APICall::Landroid/app/Dialog.addContentView(),1
APICall::Landroid/app/Dialog.dismiss(),1
APICall::Landroid/app/Dialog.findViewById(),1
APICall::Landroid/app/Dialog.getContext(),1
APICall::Landroid/app/Dialog.getWindow(),1
APICall::Landroid/app/Dialog.hide(),1
APICall::Landroid/app/Dialog.onBackPressed(),1
APICall::Landroid/app/Dialog.onCreate(),1
APICall::Landroid/app/Dialog.onRestoreInstanceState(),1
APICall::Landroid/app/Dialog.onSaveInstanceState(),1
APICall::Landroid/app/Dialog.onStart(),1
APICall::Landroid/app/Dialog.onStop(),1
APICall::Landroid/app/Dialog.onTouchEvent(),1
APICall::Landroid/app/Dialog.requestWindowFeature(),1
APICall::Landroid/app/Dialog.requireViewById(),1
APICall::Landroid/app/Dialog.setCancelable(),1
APICall::Landroid/app/Dialog.setContentView(),1
APICall::Landroid/app/Dialog.setOnCancelListener(),1
APICall::Landroid/app/Dialog.setOnDismissListener(),1
APICall::Landroid/app/Dialog.setOwnerActivity(),1
APICall::Landroid/app/Dialog.show(),1
APICall::Landroid/app/Fragment.<init>(),1
APICall::Landroid/app/Fragment.onActivityCreated(),1
APICall::Landroid/app/Fragment.onDestroy(),1
APICall::Landroid/app/Fragment.onPause(),1
APICall::Landroid/app/Fragment.onResume(),1
APICall::Landroid/app/Fragment.onStart(),1
APICall::Landroid/app/Fragment.onStop(),1
APICall::Landroid/app/FragmentManager.beginTransaction(),1
APICall::Landroid/app/FragmentManager.executePendingTransactions(),1
APICall::Landroid/app/FragmentManager.findFragmentByTag(),1
APICall::Landroid/app/FragmentTransaction.add(),1
APICall::Landroid/app/FragmentTransaction.commit(),1
APICall::Landroid/app/GrammaticalInflectionManager.getApplicationGrammaticalGender(),1
APICall::Landroid/app/GrammaticalInflectionManager.setRequestedApplicationGrammaticalGender(),1
APICall::Landroid/app/LocaleManager.getApplicationLocales(),1
APICall::Landroid/app/LocaleManager.getSystemLocales(),1
APICall::Landroid/app/LocaleManager.setApplicationLocales(),1
APICall::Landroid/app/Notification$Action$Builder.<init>(),1
APICall::Landroid/app/Notification$Action$Builder.addExtras(),1
APICall::Landroid/app/Notification$Action$Builder.addRemoteInput(),1
APICall::Landroid/app/Notification$Action$Builder.build(),1
